Ranking,Nombre,Equipo,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Andy Pages,LAD,CF,18,66,10,27,0.409,4,0,5,20,46,4,18,3,0.451,0.697,1.148,1.6
2,Yandy Diaz,TB,1B,18,70,11,26,0.371,2,1,3,16,39,8,8,1,0.463,0.557,1.021,1.1
2,CJ Abrams,WSH,SS,18,62,12,23,0.371,3,0,6,19,44,9,10,4,0.481,0.71,1.19,1.2
4,Chandler Simpson,TB,LF,18,69,9,24,0.348,0,2,0,4,28,3,5,7,0.375,0.406,0.781,0.8
14,Nico Hoerner,CHC,2B,19,76,13,26,0.342,7,0,3,20,42,9,9,6,0.42,0.553,0.973,1.5
5,Xavier Edwards,MIA,SS,19,71,14,24,0.338,3,2,1,6,34,8,9,2,0.405,0.479,0.884,0.7
6,Ryan O'Hearn,PIT,1B,18,63,9,21,0.333,3,0,3,13,33,10,12,1,0.421,0.524,0.945,0.6
6,Mauricio Dubon,ATL,2B,18,66,11,22,0.333,6,0,2,12,34,4,11,0,0.371,0.515,0.887,0.9
6,Wilyer Abreu,BOS,RF,17,66,9,22,0.333,4,1,3,10,37,5,15,0,0.38,0.561,0.941,1.4
10,Yordan Alvarez,HOU,LF,20,67,16,22,0.328,6,0,7,18,49,18,10,1,0.483,0.731,1.214,1.2
10,Otto Lopez,MIA,2B,18,67,12,22,0.328,4,1,2,8,34,5,13,3,0.387,0.507,0.894,1
10,Luke Raley,SEA,RF,18,61,8,20,0.328,4,1,4,12,38,3,24,0,0.379,0.623,1.002,0.6
13,Ben Rice,NYY,1B,18,55,16,18,0.327,6,0,5,14,39,14,19,1,0.457,0.709,1.166,0.8
6,Carson Kelly,CHC,C,16,49,8,16,0.327,3,0,1,7,22,10,8,0,0.441,0.449,0.89,0.4
14,Shea Langeliers,ATH,C,18,71,13,23,0.324,3,0,6,12,44,8,23,0,0.392,0.62,1.012,1.2
16,Vladimir Guerrero Jr.,TOR,1B,18,65,7,21,0.323,4,0,1,7,28,12,9,1,0.436,0.431,0.867,0.9
17,Drake Baldwin,ATL,C,19,78,19,25,0.321,3,0,5,19,43,6,15,0,0.384,0.551,0.935,0.8
19,Jordan Walker,STL,RF,18,69,15,22,0.319,3,0,8,15,49,6,21,2,0.373,0.71,1.083,1.7
20,William Contreras,MIL,C,16,63,9,20,0.317,4,0,2,11,30,10,9,0,0.411,0.476,0.887,0.9
20,Colt Keith,DET,2B,18,60,10,19,0.317,7,0,0,5,26,3,15,0,0.349,0.433,0.783,0.2
22,Brandon Nimmo,TEX,LF,19,76,12,24,0.316,4,1,3,10,39,8,17,1,0.395,0.513,0.909,1.1
22,Oneil Cruz,PIT,CF,19,76,15,24,0.316,4,0,5,17,43,7,26,9,0.381,0.566,0.947,0.9
24,Brendan Donovan,SEA,2B,17,54,7,17,0.315,3,0,3,8,29,9,12,1,0.449,0.537,0.986,0.7
25,Christian Yelich,MIL,LF,15,51,10,16,0.314,2,1,1,10,23,5,14,3,0.375,0.451,0.826,0.4
26,Luis Arraez,SF,2B,18,67,7,21,0.313,1,2,0,6,26,5,4,2,0.351,0.388,0.739,0.6
27,Corbin Carroll,ARI,RF,17,61,12,19,0.311,6,3,2,11,37,9,18,1,0.394,0.607,1.001,0.9
28,Teoscar Hernandez,LAD,RF,16,58,12,18,0.31,3,0,4,12,33,4,19,1,0.349,0.569,0.918,0.4
29,Liam Hicks,MIA,C,18,55,11,17,0.309,1,0,4,18,30,3,5,1,0.355,0.545,0.9,0.7
29,Kevin McGonigle,DET,SS,19,68,14,21,0.309,6,2,1,8,34,13,10,1,0.42,0.5,0.92,1.3
29,Jo Adell,LAA,CF,20,81,11,25,0.309,1,0,3,12,35,2,15,1,0.349,0.432,0.781,0.4
32,Sal Stewart,CIN,3B,19,66,13,20,0.303,4,0,7,17,45,13,15,3,0.413,0.682,1.094,1.1
32,Taylor Ward,BAL,LF,19,76,9,23,0.303,10,0,0,8,33,11,17,1,0.393,0.434,0.827,0.9
34,Jose Altuve,HOU,LF,19,70,14,21,0.3,6,0,2,6,33,14,16,1,0.417,0.471,0.888,0.7
34,Randy Arozarena,SEA,LF,20,70,16,21,0.3,4,0,1,7,28,12,13,5,0.424,0.4,0.824,1
34,Brice Turang,MIL,2B,16,60,17,18,0.3,5,1,3,11,34,13,17,6,0.425,0.567,0.991,1
34,Ceddanne Rafaela,BOS,CF,17,50,9,15,0.3,1,0,1,5,19,3,10,0,0.386,0.38,0.766,0.1
38,Willson Contreras,BOS,1B,17,57,9,17,0.298,2,0,3,11,28,11,19,0,0.444,0.491,0.936,1
39,Christian Walker,HOU,1B,20,68,12,20,0.294,6,0,4,16,38,10,12,0,0.388,0.559,0.946,0.7
62,Francisco Alvarez,NYM,C,18,51,8,15,0.294,1,0,4,5,28,8,11,0,0.41,0.549,0.959,0.5
39,Troy Johnston,COL,OF,16,51,6,15,0.294,3,0,2,7,24,4,11,0,0.357,0.471,0.828,0.1
41,Matt Olson,ATL,1B,19,75,15,22,0.293,9,0,5,14,46,9,24,0,0.369,0.613,0.982,1.2
42,Andres Gimenez,TOR,2B,18,65,6,19,0.292,2,1,3,11,32,4,10,3,0.333,0.492,0.826,0.3
43,Brandon Marsh,PHI,CF,17,62,8,18,0.29,4,0,2,11,28,3,15,2,0.318,0.452,0.77,0.4
43,Ramon Laureano,SD,RF,18,69,12,20,0.29,4,1,4,13,38,6,16,3,0.355,0.551,0.906,0.7
45,Max Muncy,ATH,3B,18,66,13,19,0.288,5,1,2,5,32,3,27,2,0.338,0.485,0.823,0.1
45,Ozzie Albies,ATL,2B,19,73,13,21,0.288,1,0,4,8,34,5,13,0,0.338,0.466,0.803,0.7
45,Ernie Clement,TOR,3B,18,73,6,21,0.288,5,0,0,5,26,1,4,1,0.297,0.356,0.653,0.1
48,Will Smith,LAD,C,17,56,8,16,0.286,1,0,2,8,23,8,10,0,0.375,0.411,0.786,0.4
49,Dillon Dingler,DET,C,16,53,9,15,0.283,3,0,4,14,30,3,10,0,0.367,0.566,0.933,0.9
49,Justin Crawford,PHI,CF,17,53,7,15,0.283,4,1,0,1,21,4,13,1,0.345,0.396,0.741,-0.3
51,Angel Martinez,CLE,CF,18,57,8,16,0.281,4,0,2,9,26,3,9,4,0.339,0.456,0.795,0.3
67,Maikel Garcia,KC,3B,19,75,11,21,0.28,5,0,2,9,32,8,13,1,0.345,0.427,0.772,0.8
52,Bryan Reynolds,PIT,RF,19,68,14,19,0.279,1,1,3,12,31,12,21,1,0.39,0.456,0.846,0.7
52,Alec Burleson,STL,1B,18,68,7,19,0.279,3,0,2,14,28,11,8,1,0.375,0.412,0.787,0.5
54,Bobby Witt Jr.,KC,SS,19,72,4,20,0.278,5,0,0,8,25,10,16,8,0.361,0.347,0.709,1
55,Daylen Lile,WSH,RF,19,83,11,23,0.277,5,0,0,6,28,4,13,1,0.31,0.337,0.648,0.3
55,Carlos Correa,HOU,SS,17,65,14,18,0.277,4,0,1,9,25,8,11,1,0.356,0.385,0.741,0.6
57,Jeff McNeil,ATH,2B,18,58,5,16,0.276,4,0,0,3,20,6,11,1,0.354,0.345,0.699,0.3
58,Giancarlo Stanton,NYY,DH,18,66,6,18,0.273,3,0,2,10,27,6,21,1,0.333,0.409,0.742,0.3
58,Joey Loperfido,HOU,LF,19,55,7,15,0.273,5,0,0,6,20,6,18,1,0.349,0.364,0.713,0.3
58,Connor Norby,MIA,3B,17,55,6,15,0.273,5,0,2,6,26,6,15,0,0.379,0.473,0.852,0.4
58,Jac Caglianone,KC,RF,17,55,5,15,0.273,4,1,0,1,21,5,17,0,0.355,0.382,0.737,0.3
62,Cam Smith,HOU,RF,20,70,12,19,0.271,5,0,3,10,33,8,19,3,0.35,0.471,0.821,0.6
64,Freddie Freeman,LAD,1B,18,74,8,20,0.27,6,0,3,14,35,5,10,0,0.325,0.473,0.798,0.7
64,Matt Chapman,SF,3B,19,74,10,20,0.27,4,1,1,8,29,5,15,0,0.316,0.392,0.708,0.6
66,Xander Bogaerts,SD,SS,18,71,5,19,0.268,2,0,3,13,30,6,7,2,0.325,0.423,0.747,0.3
67,Elly De La Cruz,CIN,SS,19,75,15,20,0.267,3,0,6,11,41,9,27,5,0.345,0.547,0.892,1
69,Daulton Varsho,TOR,CF,18,64,8,17,0.266,4,0,3,7,30,7,10,1,0.338,0.469,0.807,0.6
69,TJ Rumfield,COL,1B,19,64,6,17,0.266,1,1,2,8,26,7,13,0,0.333,0.406,0.74,0.1
71,Jesus Sanchez,TOR,RF,17,53,7,14,0.264,3,0,2,10,23,3,11,0,0.317,0.434,0.751,0
72,Josh Jung,TEX,3B,16,57,6,15,0.263,4,0,1,5,22,5,12,0,0.323,0.386,0.709,0.1
72,Nick Gonzales,PIT,2B,16,57,7,15,0.263,3,0,0,10,18,4,12,1,0.311,0.316,0.627,0
72,Jacob Wilson,ATH,SS,18,76,7,20,0.263,3,0,1,9,26,1,10,1,0.273,0.342,0.615,0.1
75,Brandon Lowe,PIT,2B,17,65,11,17,0.262,2,0,7,16,40,11,17,0,0.377,0.615,0.992,1.1
76,Willy Adames,SF,SS,19,73,8,19,0.26,9,0,3,6,37,5,21,0,0.316,0.507,0.823,0.7
76,Trea Turner,PHI,SS,18,73,13,19,0.26,4,0,2,7,29,5,17,1,0.308,0.397,0.705,0
76,Jackson Merrill,SD,CF,19,73,15,19,0.26,6,0,3,13,34,6,13,4,0.316,0.466,0.782,0.6
79,Victor Caratini,MIN,C,16,54,5,14,0.259,1,0,1,8,18,7,8,0,0.373,0.333,0.706,0.5
80,Bryce Harper,PHI,1B,18,66,10,17,0.258,5,0,4,11,34,10,11,1,0.355,0.515,0.87,0
80,Hunter Goodman,COL,C,19,66,13,17,0.258,2,0,5,8,34,6,30,1,0.338,0.515,0.853,0.7
82,Riley Greene,DET,LF,19,70,13,18,0.257,6,0,1,12,27,10,19,1,0.35,0.386,0.736,0.2
83,James Wood,WSH,LF,19,78,16,20,0.256,6,0,5,15,41,14,30,4,0.376,0.526,0.902,0.7
84,Victor Scott II,STL,CF,18,47,5,12,0.255,1,0,0,3,13,3,13,3,0.294,0.277,0.571,-0.1
84,Ben Williamson,TB,3B,17,51,11,13,0.255,4,0,0,6,17,5,12,2,0.321,0.333,0.655,0.2
87,Shohei Ohtani,LAD,DH,17,63,10,16,0.254,1,0,5,10,32,14,19,0,0.402,0.508,0.91,0.4
88,Jake Burger,TEX,1B,19,75,9,19,0.253,4,0,5,16,38,2,23,0,0.278,0.507,0.785,0.5
88,Steven Kwan,CLE,LF,19,75,8,19,0.253,3,0,1,7,25,7,9,2,0.325,0.333,0.659,0
90,Gleyber Torres,DET,2B,18,68,12,17,0.25,2,0,1,5,22,13,14,0,0.366,0.324,0.689,0.5
90,Fernando Tatis Jr.,SD,RF,19,68,8,17,0.25,4,0,0,10,21,9,18,4,0.333,0.309,0.642,0.2
90,Agustin Ramirez,MIA,C,18,64,10,16,0.25,3,1,1,9,24,8,16,1,0.338,0.375,0.713,-0.2
93,Ronald Acuna Jr.,ATL,RF,19,73,6,18,0.247,5,1,1,5,28,10,17,4,0.341,0.384,0.725,0.2
94,Mike Trout,LAA,RF,19,69,21,17,0.246,3,0,7,16,41,18,18,2,0.416,0.594,1.01,1.4
94,Junior Caminero,TB,3B,18,69,10,17,0.246,2,0,4,7,31,12,16,0,0.354,0.449,0.803,0.1
94,Cody Bellinger,NYY,LF,18,65,10,16,0.246,2,1,1,6,23,11,11,3,0.346,0.354,0.7,0.9
94,Roman Anthony,BOS,RF,17,65,11,16,0.246,3,1,1,3,24,10,20,1,0.355,0.369,0.724,0.5
94,Jung Hoo Lee,SF,CF,19,65,6,16,0.246,6,0,1,8,25,6,11,0,0.301,0.385,0.686,0.2
94,Chase DeLauter,CLE,RF,18,61,10,15,0.246,4,0,5,12,34,9,11,0,0.338,0.557,0.895,0.5
94,Gavin Sheets,SD,LF,17,57,8,14,0.246,8,0,2,6,28,3,15,1,0.283,0.491,0.775,-0.2
103,Brady House,WSH,3B,18,70,8,17,0.243,4,0,2,7,27,5,22,0,0.293,0.386,0.679,0
105,Eugenio Suarez,CIN,3B,19,66,6,16,0.242,1,0,3,9,26,8,21,0,0.324,0.394,0.718,0
106,Luis Robert Jr.,NYM,CF,18,62,9,15,0.242,1,0,2,7,22,12,16,2,0.365,0.355,0.72,0.3
103,Alex Bregman,CHC,3B,19,79,5,19,0.241,1,0,2,9,26,9,15,1,0.315,0.329,0.644,0.3
108,Kyle Tucker,LAD,RF,18,67,14,16,0.239,1,0,2,11,23,12,17,3,0.35,0.343,0.693,0.2
109,Josh Bell,MIN,1B,19,63,15,15,0.238,5,0,3,14,29,10,17,0,0.347,0.46,0.807,0.3
109,Zach Neto,LAA,SS,20,80,18,19,0.238,4,0,5,9,38,14,27,1,0.358,0.475,0.833,1.2
111,Aaron Judge,NYY,RF,19,72,16,17,0.236,2,0,8,14,43,8,23,3,0.321,0.597,0.918,1
113,Byron Buxton,MIN,CF,17,68,15,16,0.235,3,1,3,4,30,5,20,0,0.293,0.441,0.735,0.5
115,Luis Garcia Jr.,WHS,2B,18,60,9,14,0.233,3,1,1,10,22,3,9,1,0.27,0.367,0.637,-0.2
115,Ezequiel Tovar,COL,SS,19,73,7,17,0.233,7,0,1,6,27,3,21,1,0.273,0.37,0.643,0
117,Jorge Soler,LAA,RF,18,65,13,15,0.231,3,0,5,18,33,10,26,0,0.342,0.508,0.849,0.3
117,Adolis Garcia,PHO,RF,18,65,5,15,0.231,4,0,2,5,25,5,20,1,0.301,0.385,0.686,0.1
117,Heliot Ramos,SF,LF,18,65,5,15,0.231,2,0,0,7,17,3,24,0,0.265,0.262,0.526,-0.2
120,Austin Riley,ATL,3B,19,70,10,16,0.229,4,0,1,9,23,9,14,2,0.316,0.329,0.645,0.1
122,JJ Wetherholt,STL,SS,18,66,13,15,0.227,1,0,3,9,25,12,14,4,0.354,0.379,0.732,0.7
111,Pete Crow-Armstrong,CHC,CF,19,75,12,17,0.227,2,0,1,5,22,4,24,4,0.275,0.293,0.568,0.6
123,Brenton Doyle,COL,CF,18,53,9,12,0.226,1,0,1,1,16,6,21,5,0.305,0.302,0.607,0.1
121,Bo Bichette,NYM,SS,20,84,7,19,0.226,3,0,1,9,25,5,22,0,0.267,0.298,0.564,-0.1
123,Michael Harris II,ATL,CF,17,62,5,14,0.226,1,0,2,7,21,3,15,2,0.262,0.339,0.6,0.1
125,Jonathan Aranda,TB,1B,18,67,10,15,0.224,4,0,3,15,28,12,18,0,0.329,0.418,0.747,0.1
125,Jose Ramirez,CLE,3B,20,76,11,17,0.224,4,0,4,10,33,11,11,8,0.322,0.434,0.756,0.8
127,Kyle Schwarber,PHI,LF,18,63,12,14,0.222,3,0,6,12,35,13,29,0,0.38,0.556,0.935,0.5
127,Jose Caballero,NYY,SS,18,63,6,14,0.222,4,0,1,8,21,3,18,8,0.269,0.333,0.602,0.3
127,Carter Jensen,KC,C,18,54,6,12,0.222,1,0,4,10,25,3,18,0,0.259,0.463,0.722,0.1
127,Luke Keaschall,MIN,2B,19,72,11,16,0.222,2,0,1,9,21,6,11,3,0.278,0.292,0.57,0.1
127,Chase Meidroth,CHW,SS,17,63,8,14,0.222,4,0,1,2,21,8,16,1,0.31,0.333,0.643,-0.2
132,Max Muncy,LAD,3B,17,59,12,13,0.22,0,0,4,4,25,8,23,0,0.313,0.424,0.737,0.6
133,Jake Bauers,MIL,1B,17,55,10,12,0.218,1,0,5,13,28,6,13,2,0.295,0.509,0.804,0.2
133,Logan O'Hoppe,LAA,C,18,55,5,12,0.218,1,0,1,8,16,8,12,0,0.333,0.291,0.624,0
133,Spencer Torkelson,DET,1B,18,55,5,12,0.218,3,0,0,6,15,13,19,0,0.377,0.273,0.65,-0.1
136,Cole Young,SEA,2B,20,69,13,15,0.217,2,1,2,9,25,8,20,0,0.308,0.362,0.67,0.7
136,Brayan Rocchio,CLE,SS,20,60,8,13,0.217,2,0,2,8,21,9,8,0,0.338,0.35,0.688,0.5
138,Rafael Devers,SF,DH,19,74,7,16,0.216,1,0,2,6,23,5,23,0,0.266,0.311,0.577,-0.6
139,Willi Castro,COL,LF,16,56,8,12,0.214,4,0,1,8,19,4,24,1,0.279,0.339,0.618,0.1
141,Ian Happ,CHC,LF,17,70,9,15,0.214,4,0,5,10,34,9,27,0,0.313,0.486,0.798,0.3
140,Gunnar Henderson,BAL,SS,19,80,13,17,0.213,3,1,6,14,40,8,25,4,0.289,0.5,0.789,0.4
164,Marcus Semien,NYM,2B,20,71,3,15,0.211,3,0,1,8,21,5,16,0,0.269,0.296,0.565,-0.3
142,Ketel Marte,ARI,2B,18,71,10,15,0.211,2,0,4,9,29,6,17,0,0.273,0.408,0.681,0.3
142,Tyler Soderstrom,ATH,LF,19,71,9,15,0.211,5,1,2,14,28,10,18,1,0.309,0.394,0.703,0.2
155,Dansby Swanson,CHC,SS,19,62,19,13,0.21,1,0,4,12,26,15,19,1,0.354,0.419,0.774,0.8
144,Trevor Story,BOS,SS,18,77,5,16,0.208,4,0,2,17,26,2,24,1,0.222,0.338,0.56,-0.1
144,Isaac Paredes,HOU,3B,15,53,6,11,0.208,4,0,0,6,15,7,13,0,0.344,0.283,0.627,-0.2
144,Nolan Gorman,STL,2B,17,53,6,11,0.208,0,0,2,9,17,7,19,0,0.29,0.321,0.611,0
147,Manny Machado,SD,3B,18,58,10,12,0.207,2,0,2,10,20,16,14,1,0.368,0.345,0.713,0.4
148,Nolan Arenado,ARI,3B,17,63,6,13,0.206,1,0,2,9,20,1,16,0,0.215,0.317,0.533,-0.4
148,Nick Kurtz,ATH,1B,18,63,8,13,0.206,3,0,1,6,19,18,30,2,0.383,0.302,0.684,0.4
150,Bryson Stott,PHI,2B,15,54,2,11,0.204,1,0,0,3,12,4,10,4,0.271,0.222,0.493,-0.3
152,Mike Yastrzemski,ATL,RF,18,59,8,12,0.203,2,1,0,4,16,8,17,1,0.309,0.271,0.58,-0.1
152,Corey Seager,TEX,SS,18,64,12,13,0.203,1,0,5,12,29,12,20,1,0.321,0.453,0.774,0.7
